brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
Giebichenstein	195174194	07567470X,195174194	2
Trotha	195174240	07567470X,195174240	2
Kröllwitz	19517433X	07567470X,19517433X	2
Hardegsen	192748874	07567470X,192748874	2
Großkrotzenburg	192750445	07567470X,192750445	2
Bretten	197460364	07567470X,197460364	2
Bockhorn	075629941	07567470X,075629941	2
Bonn	07563001X	07567470X,07563001X	2
Braunschweig	075630079	07567470X,075630079	2
Büren	075630214	07567470X,075630214	2
Burghaun	075630257	07567470X,075630257	2
Buxtehude	075630273	07567470X,075630273	2
Ebersberg	075630281	07567470X,075630281	2
Edemissen	07563029X	07567470X,07563029X	2
Eifel	075630338	07567470X,075630338	2
Delmenhorst	075630400	07567470X,075630400	2
Diessen am Ammersee	075630486	07567470X,075630486	2
Essen (Duitsland)	075630540	07567470X,075630540	2
Margarethenhöhe (Essen)	189551720	07567470X,075630540,189551720	3
Dülmen	075630729	07567470X,075630729	2
Duisburg	075630737	07567470X,075630737	2
Fürth	075630818	07567470X,075630818	2
Oldenburg in Holstein	075632950	07567470X,075632950	2
Oppenheim	075633078	07567470X,075633078	2
Osterode am Harz	075633094	07567470X,075633094	2
Radevormwald	075633337	07567470X,075633337	2
Ratekau	075633345	07567470X,075633345	2
Rendsburg	075633353	07567470X,075633353	2
Aindling	212788035	07567470X,212788035	2
Elten	214206386	07567470X,214206386	2
Werth	204336988	07567470X,204336988	2
Nossen	207219532	07567470X,207219532	2
Neuhaus am Rennweg	207220042	07567470X,207220042	2
Lommersum	212331434	07567470X,212331434	2
Kerpen	212331442	07567470X,212331442	2
Liblar	212776274	07567470X,212776274	2
Wachtendonk	212776770	07567470X,212776770	2
Ovelgönne	212791044	07567470X,212791044	2
Freilassing	075635577	07567470X,075635577	2
Timmendorfer Strand	075635585	07567470X,075635585	2
Ballenstedt	21673651X	07567470X,21673651X	2
Beieren	075635798	07567470X,075635798	2
Herford	075635801	07567470X,075635801	2
Gifhorn	07563581X	07567470X,07563581X	2
Neuhausen auf den Fildern	075635844	07567470X,075635844	2
Langensteinbach	075635852	07567470X,075635852	2
Niedernberg	075635887	07567470X,075635887	2
Neuendettelsau	075635909	07567470X,075635909	2
Erbach	075635917	07567470X,075635917	2
Ebern	075635925	07567470X,075635925	2
Peißenberg	075636018	07567470X,075636018	2
Kirchlengern	075636042	07567470X,075636042	2
Saerbeck	075636069	07567470X,075636069	2
Memmelsdorf	075636093	07567470X,075636093	2
Weener	07563614X	07567470X,07563614X	2
Lauf an der Pegnitz	075636182	07567470X,075636182	2
Mühldorf am Inn	075636190	07567470X,075636190	2
Wickrath	07563631X	07567470X,07563631X	2
Oelde	075636328	07567470X,075636328	2
Regen	075638118	07567470X,075638118	2
Stelle	075638142	07567470X,075638142	2
Holzwickede	225924943	07567470X,225924943	2
Schöppenstedt	075638401	07567470X,075638401	2
Holle	075638533	07567470X,075638533	2
Hünxe	075638541	07567470X,075638541	2
Sinzig	075638754	07567470X,075638754	2
Langelsheim	075638762	07567470X,075638762	2
Cochem	075638894	07567470X,075638894	2
Gevelsberg	216740207	07567470X,216740207	2
Hockenheim	075638908	07567470X,075638908	2
Taufkirchen	075638940	07567470X,075638940	2
Tostedt	075639017	07567470X,075639017	2
Bad Rodach	075639025	07567470X,075639025	2
Rheinberg	075640988	07567470X,075640988	2
Manching	075640996	07567470X,075640996	2
Holzminden	07564102X	07567470X,07564102X	2
Gammertingen	075641038	07567470X,075641038	2
Lahntal	075641054	07567470X,075641054	2
Leichlingen	075641070	07567470X,075641070	2
Hönningen	075641089	07567470X,075641089	2
Taunus	075641097	07567470X,075641097	2
Bad Windsheim	075641208	07567470X,075641208	2
Burladingen	075641216	07567470X,075641216	2
Kaufungen	075641224	07567470X,075641224	2
Leisnig	225921030	07567470X,225921030	2
Teutoburgerwoud	227863321	07567470X,227863321	2
Freiburg im Breisgau	229476198	07567470X,229476198	2
Hünfelden	075641453	07567470X,075641453	2
Augsburg	075641461	07567470X,075641461	2
Filderstadt	07564147X	07567470X,07564147X	2
Beckum (Duitsland)	075641550	07567470X,075641550	2
Neubeckum	075641569	07567470X,075641569	2
Vellern	075641577	07567470X,075641577	2
Wolfenbüttel	075641704	07567470X,075641704	2
Biedenkopf	075643634	07567470X,075643634	2
Schlitz	075643642	07567470X,075643642	2
Bad Reichenhall	075643804	07567470X,075643804	2
Lauenburg	075643812	07567470X,075643812	2
Blankenese	075643820	07567470X,075643820	2
Siegen	075643871	07567470X,075643871	2
Schöningen	07564388X	07567470X,07564388X	2
Isny im Allgäu	075643898	07567470X,075643898	2
Attendorn	075644134	07567470X,075644134	2
Schwalbach am Taunus	075644207	07567470X,075644207	2
Schorndorf	075644592	07567470X,075644592	2
Lebach	075644622	07567470X,075644622	2
Ahrensburg	075644630	07567470X,075644630	2
Malente-Gremsmühlen	075644649	07567470X,075644649	2
Regensburg	075645564	07567470X,075645564	2
Ochsenfurt	075645580	07567470X,075645580	2
Charlottenburg	075645599	07567470X,075645599	2
Hagen	075645602	07567470X,075645602	2
Schwandorf	075645610	07567470X,075645610	2
Feucht	075645874	07567470X,075645874	2
Michelstadt	075645882	07567470X,075645882	2
Trossingen	075645947	07567470X,075645947	2
Rotenburg an der Fulda	075645955	07567470X,075645955	2
Stockerau	075645963	07567470X,075645963	2
Emmerich	07564598X	07567470X,07564598X	2
Trittau	075645998	07567470X,075645998	2
Schwäbisch Gmünd	075646072	07567470X,075646072	2
Hermannsburg	075646080	07567470X,075646080	2
Flensburg	075646226	07567470X,075646226	2
Baiersbronn	075646234	07567470X,075646234	2
Mücke	075646277	07567470X,075646277	2
Wardenburg	075646285	07567470X,075646285	2
Dirmstein	075646293	07567470X,075646293	2
Hermannstein bei Wetzlar	075646315	07567470X,075646315	2
Hengersberg	075646323	07567470X,075646323	2
Burg auf Fehmarn	07564634X	07567470X,07564634X	2
Porta Westfalica	075647478	07567470X,075647478	2
Alzey	075647486	07567470X,075647486	2
Grebenstein	075647494	07567470X,075647494	2
Alfeld	075647516	07567470X,075647516	2
Berkheim	075647796	07567470X,075647796	2
Bad Soden am Taunus	07564780X	07567470X,07564780X	2
Breisach am Rhein	075647842	07567470X,075647842	2
Münster	075647923	07567470X,075647923	2
Tirschenreuth	075648210	07567470X,075648210	2
Brakel (West-Duitsland)	075648261	07567470X,075648261	2
Heidenrod	07564830X	07567470X,07564830X	2
Oberwesel	075652250	07567470X,075652250	2
Delbrück	075652269	07567470X,075652269	2
Remagen	075652455	07567470X,075652455	2
Schotten	07565248X	07567470X,07565248X	2
Arolsen	075652633	07567470X,075652633	2
Pfaffenhofen an der Ilm	075652641	07567470X,075652641	2
Gengenbach	07565265X	07567470X,07565265X	2
Abensberg	075652668	07567470X,075652668	2
Altrip	075652676	07567470X,075652676	2
Dorfen	075652684	07567470X,075652684	2
Kronberg im Taunus	075652781	07567470X,075652781	2
Prüm	075652803	07567470X,075652803	2
Aidlingen	075652811	07567470X,075652811	2
Philippsthal	07565282X	07567470X,07565282X	2
Kirchheimbolanden	075652838	07567470X,075652838	2
Hennef an der Sieg	075652846	07567470X,075652846	2
Quierschied-Saar	075652854	07567470X,075652854	2
Emstal-Sand	075652862	07567470X,075652862	2
Langenberg	075652870	07567470X,075652870	2
Neviges	075652889	07567470X,075652889	2
Fischbach	075652897	07567470X,075652897	2
Göttelborn	075652900	07567470X,075652900	2
Geisenheim	075653044	07567470X,075653044	2
Duitsland ; economie	236522744	07567470X,236522744	2
Elmpt	237193396	07567470X,237193396	2
Bergisches Land	23900714X	07567470X,23900714X	2
Hohnstein	239363728	07567470X,239363728	2
Bendorf	239407032	07567470X,239407032	2
Blomberg	239407148	07567470X,239407148	2
Fremersdorf	239407369	07567470X,239407369	2
Gau-Algesheim	239407415	07567470X,239407415	2
Gerolstein	239407431	07567470X,239407431	2
Hachenburg	239407512	07567470X,239407512	2
Halver	239407520	07567470X,239407520	2
Heuchelheim	239407547	07567470X,239407547	2
Willingen	239409817	07567470X,239409817	2
Wennigsen	239409876	07567470X,239409876	2
Wächtersbach	239410572	07567470X,239410572	2
Verden	239410696	07567470X,239410696	2
Vogelsdorf	239874153	07567470X,239874153	2
Bad Salzuflen	239878779	07567470X,239878779	2
Marienheide	240379926	07567470X,240379926	2
Emsland (Landkreis)	242209998	07567470X,242209998	2
Bärenklau	242333346	07567470X,242333346	2
Leegebruch	242333362	07567470X,242333362	2
Brake	242333397	07567470X,242333397	2
Bad Ems	239404629	07567470X,239404629	2
Bad Endbach	239405404	07567470X,239405404	2
Bovenden	239405455	07567470X,239405455	2
Heusweiler	239405609	07567470X,239405609	2
Mettingen	239405951	07567470X,239405951	2
Püttlingen	239406273	07567470X,239406273	2
Rottenburg am Neckar	239406311	07567470X,239406311	2
Übach-Palenberg	239406419	07567470X,239406419	2
Überlingen	239406435	07567470X,239406435	2
Rheine	239412435	07567470X,239412435	2
Bienenbüttel	239883373	07567470X,239883373	2
Rees	239937546	07567470X,239937546	2
Langenthal	241538203	07567470X,241538203	2
Saarbrücken	242860672	07567470X,242860672	2
Hessen	25124122X	07567470X,25124122X	2
Kreuzau	255981104	07567470X,255981104	2
Lauenstein	255981716	07567470X,255981716	2
Lengede	255982240	07567470X,255982240	2
Linden (Duitsland)	255982658	07567470X,255982658	2
Linnich	255999143	07567470X,255999143	2
Lohmar	255999291	07567470X,255999291	2
Munster	256000778	07567470X,256000778	2
Vohwinkel	258979143	07567470X,258979143	2
Meßkirch	264105141	07567470X,264105141	2
Nörten-Hardenberg	075653060	07567470X,075653060	2
Kassel	075653079	07567470X,075653079	2
Neustadt in Holstein	075653214	07567470X,075653214	2
Siegburg	075653222	07567470X,075653222	2
Mesum	075653230	07567470X,075653230	2
Bornheim	075656302	07567470X,075656302	2
Kalkriese	279916507	07567470X,279916507	2
Asperden	281974349	07567470X,281974349	2
Ratingen	255734824	07567470X,255734824	2
Germering	255975899	07567470X,255975899	2
Unterpfaffenhofen	255975953	07567470X,255975953	2
Gunzenhausen	255976399	07567470X,255976399	2
Niederkrüchten	255978006	07567470X,255978006	2
Peiting	256030499	07567470X,256030499	2
Plankstadt	256030731	07567470X,256030731	2
Offenbach am Main	256030901	07567470X,256030901	2
Neu Wulmstorf	256031371	07567470X,256031371	2
Fulda	256975434	07567470X,256975434	2
Emlichheim	288977661	07567470X,288977661	2
Margetshöchheim	296884669	07567470X,296884669	2
Trebur	263487334	07567470X,263487334	2
Witthoh	264098692	07567470X,264098692	2
Tennenbach	264100026	07567470X,264100026	2
Pirna	265238161	07567470X,265238161	2
Ritterhude	265592526	07567470X,265592526	2
Gangelt	298144581	07567470X,298144581	2
Westerheverkoog (Schleswig-Holstein)	290721105	07567470X,290721105	2
Neustadt an der Weinstrasse	302482334	07567470X,302482334	2
Altmühltal	30382090X	07567470X,30382090X	2
Riedenburg	30382106X	07567470X,30382106X	2
Tübingen	304229881	07567470X,304229881	2
Schleswig-Holstein	306071452	07567470X,306071452	2
Ulm	314724982	07567470X,314724982	2
Rätzeburger See	316125393	07567470X,316125393	2
Saarland	322379946	07567470X,322379946	2
Selfkant	32465457X	07567470X,32465457X	2
Niedersachsen	327192917	07567470X,327192917	2
Sachsen-Anhalt	327192925	07567470X,327192925	2
Badbergen	327287845	07567470X,327287845	2
Rysum	332303365	07567470X,332303365	2
Brüggen	333694341	07567470X,333694341	2
Föhr	333766369	07567470X,333766369	2
Kempen (Duitsland)	334064309	07567470X,334064309	2
Westmünsterland	336453752	07567470X,336453752	2
Flemhuder See	370418093	07567470X,370418093	2
Coswig	391725866	07567470X,391725866	2
Kalkar	392143534	07567470X,392143534	2
Hoya	392484560	07567470X,392484560	2
Chemnitz	393805425	07567470X,393805425	2
Kaiserslautern	393974278	07567470X,393974278	2
Leverkusen	394009711	07567470X,394009711	2
Bayreuth	395409306	07567470X,395409306	2
Remscheid	395431212	07567470X,395431212	2
Nordenham	395433673	07567470X,395433673	2
Heilbronn	395433703	07567470X,395433703	2
Oberes Mittelrheintal	401396223	07567470X,401396223	2
Husum	375505172	07567470X,375505172	2
Viersen	405381182	07567470X,405381182	2
Fossa Eugeniana	40633773X	07567470X,40633773X	2
Östringen	075668998	07567470X,075668998	2
Wegberg	384095518	07567470X,384095518	2
Noordoost-Duitsland	385955480	07567470X,385955480	2
Bad Breisig	075669129	07567470X,075669129	2
Flammersbach	075669145	07567470X,075669145	2
Untersiemau	07566920X	07567470X,07566920X	2
Destedt	075669218	07567470X,075669218	2
Kleinenbroich	075669226	07567470X,075669226	2
Hienheim	38761009X	07567470X,38761009X	2
Naila	075669307	07567470X,075669307	2
Aken	075673843	07567470X,075673843	2
Hattingen	075674122	07567470X,075674122	2
Vilstal	075674130	07567470X,075674130	2
Bad Rippoldsau	075674149	07567470X,075674149	2
Langenselbold	075674157	07567470X,075674157	2
Gernsheim	075674165	07567470X,075674165	2
Mönchengladbach	393337219	07567470X,393337219	2
Bochum	393337618	07567470X,393337618	2
Hannover	393338193	07567470X,393338193	2
Ludwigshafen	393510107	07567470X,393510107	2
Mannheim	393510123	07567470X,393510123	2
Keulen	075678756	07567470X,075678756	2
Porz (Keulen)	256028931	07567470X,075678756,256028931	3
Herborn	075679477	07567470X,075679477	2
Freystadt	075679485	07567470X,075679485	2
Waldshut	075679558	07567470X,075679558	2
Markt Isen	075679612	07567470X,075679612	2
Koblenz	075679620	07567470X,075679620	2
Göttingen	075684128	07567470X,075684128	2
Alpirsbach	075684217	07567470X,075684217	2
Tauberbischofsheim	075684225	07567470X,075684225	2
Dinslaken	07568425X	07567470X,07568425X	2
Oberhausen	075684268	07567470X,075684268	2
Heiligenwald	07568571X	07567470X,07568571X	2
Blumberg	075685728	07567470X,075685728	2
Bad Wurzach	075688476	07567470X,075688476	2
Seelbach	075688484	07567470X,075688484	2
Heiligenhaus	075688492	07567470X,075688492	2
Schliersee	075688514	07567470X,075688514	2
Saarlouis	075688646	07567470X,075688646	2
Vohenstrauß	075688654	07567470X,075688654	2
Westerland (Duitsland)	075688662	07567470X,075688662	2
Suderburg	075688670	07567470X,075688670	2
Pforzheim	075688689	07567470X,075688689	2
Bad Laer	075688700	07567470X,075688700	2
Kochel am See	075688719	07567470X,075688719	2
Wörth	075688727	07567470X,075688727	2
Schlangenbad	075688735	07567470X,075688735	2
Zell	075688743	07567470X,075688743	2
Giebelstadt	075688751	07567470X,075688751	2
Bad Honnef	07568876X	07567470X,07568876X	2
Wildeshausen	075688778	07567470X,075688778	2
Germersheim	075688786	07567470X,075688786	2
Leidersbach	075688794	07567470X,075688794	2
Plochingen	078348420	07567470X,078348420	2
Soest (Duitsland)	410579858	07567470X,410579858	2
Amrum	412437058	07567470X,412437058	2
Hunsrück	416652158	07567470X,416652158	2
Herzogenrath	419137394	07567470X,419137394	2
Anholt (Isselburg)	41950172X	07567470X,41950172X	2
Plön	078348501	07567470X,078348501	2
Mössingen	078348579	07567470X,078348579	2
Konz	078363144	07567470X,078363144	2
Pfungstadt	078364027	07567470X,078364027	2
Dannenberg	078366917	07567470X,078366917	2
Bad Iburg	078418658	07567470X,078418658	2
Stockstadt am Main	078764211	07567470X,078764211	2
Moormerland	078768764	07567470X,078768764	2
Warburg	07958988X	07567470X,07958988X	2
Moosbach	079771777	07567470X,079771777	2
Bleckede	084735414	07567470X,084735414	2
Oranienburg	084735600	07567470X,084735600	2
Ueckermünde	084735856	07567470X,084735856	2
Dachtel	086546554	07567470X,086546554	2
Deufringen	086546597	07567470X,086546597	2
Torgelow	086546678	07567470X,086546678	2
Weilmünster	086546791	07567470X,086546791	2
Arnstein	086546953	07567470X,086546953	2
Auerbach	086546988	07567470X,086546988	2
Bad Doberan-Heiligendamm	086547232	07567470X,086547232	2
Borna	086547275	07567470X,086547275	2
Dessau	086547410	07567470X,086547410	2
Handewitt	086547666	07567470X,086547666	2
Neustrelitz	086547798	07567470X,086547798	2
Oschersleben	086547968	07567470X,086547968	2
Sangerhausen	08654800X	07567470X,08654800X	2
Schwarzach am Main	086548034	07567470X,086548034	2
Westhausen	087441012	07567470X,087441012	2
Linsengericht	087441268	07567470X,087441268	2
Markt Schwaben	087441659	07567470X,087441659	2
Bocholt	087442116	07567470X,087442116	2
Salzwedel	087722763	07567470X,087722763	2
Riesa an der Elbe	087723352	07567470X,087723352	2
Viechtach	088677443	07567470X,088677443	2
Beutelsbach im Remstal	088677540	07567470X,088677540	2
Ludwigsfelde	089294831	07567470X,089294831	2
Friedland	089384679	07567470X,089384679	2
Burg	089385411	07567470X,089385411	2
Cremlingen	089385764	07567470X,089385764	2
Bückeburg	089398807	07567470X,089398807	2
Netpherland	089415469	07567470X,089415469	2
Eschenburg	091401623	07567470X,091401623	2
Bensberg	093150571	07567470X,093150571	2
Schonnebeck	093165633	07567470X,093165633	2
Mecklenburg-Vorpommern	093167245	07567470X,093167245	2
Donauwörth	093171269	07567470X,093171269	2
Sankt Mauritz (Münster)	093828276	07567470X,093828276	2
Bad Salzungen	09468586X	07567470X,09468586X	2
Ruhla	095068627	07567470X,095068627	2
Elsterwerda	095072020	07567470X,095072020	2
Blankenburg	09507256X	07567470X,09507256X	2
Fredenbeck	09539706X	07567470X,09539706X	2
Trippstadt	095397477	07567470X,095397477	2
Klütz	09539754X	07567470X,09539754X	2
Herten (Duitsland)	095398317	07567470X,095398317	2
Blankenfelde	096172665	07567470X,096172665	2
Bleicherode	09617269X	07567470X,09617269X	2
Nienburg	096172843	07567470X,096172843	2
Raguhn	096172908	07567470X,096172908	2
Weißenfels	096173041	07567470X,096173041	2
Lindenberg im Allgäu	096563613	07567470X,096563613	2
Weida	096565691	07567470X,096565691	2
Ostseebad Boltenhagen	096566493	07567470X,096566493	2
Landsberg am Lech	096566744	07567470X,096566744	2
Harzgerode	09683403X	07567470X,09683403X	2
Erkner	096836946	07567470X,096836946	2
Meersburg	097400246	07567470X,097400246	2
Angerbachtal	273785338	07567470X,273785338	2
Hösel	27452869X	07567470X,27452869X	2
Zuidwest-Duitsland	274558343	07567470X,274558343	2
Niederrhein	288091183	07567470X,288091183	2
Neuss	316117285	07567470X,316117285	2
Niers (rivier)	321963814	07567470X,321963814	2
Baden-Württemberg	322380448	07567470X,322380448	2
Altena (Duitsland)	323367828	07567470X,323367828	2
Hebelermeer	330028499	07567470X,330028499	2
Hemden	331563525	07567470X,331563525	2
Tripkau	339735449	07567470X,339735449	2
Opper-Lausitz	341038504	07567470X,341038504	2
Lippe	352692014	07567470X,352692014	2
Merkstein	354994360	07567470X,354994360	2
Oberammergau	357365127	07567470X,357365127	2
Bad Bentheim	370800176	07567470X,370800176	2
Wormdal	37085411X	07567470X,37085411X	2
Kyllburg	373423888	07567470X,373423888	2
Brandenburg	392770539	07567470X,392770539	2
Königsberg	392794624	07567470X,392794624	2
Wolfsburg	395442117	07567470X,395442117	2
Reutlingen	395442257	07567470X,395442257	2
Maagdenburg	400373866	07567470X,400373866	2
Salzgitter	403962994	07567470X,403962994	2
Homburg	405059906	07567470X,405059906	2
Neuburg an der Donau	407467467	07567470X,407467467	2
Wierschem	408487119	07567470X,408487119	2
Wilhelmshöhe	408488484	07567470X,408488484	2
Hechingen	408489731	07567470X,408489731	2
Idstein	40911278X	07567470X,40911278X	2
Erfurt	40982433X	07567470X,40982433X	2
Monheim am Rhein	410408689	07567470X,410408689	2
Tsjaad	075674815	075674815	1
meerlingen	075675323	075675323	1
Evang	418225524	418225524	1
studietoetsen ; biologie	075678195	075678195	1
studietoetsen ; Frans	075678209	075678209	1
studietoetsen ; Duits	075678217	075678217	1
studietoetsen ; Engels	075678225	075678225	1
studietoetsen ; scheikunde	075678233	075678233	1
studietoetsen ; Nederlands	075678241	075678241	1
studietoetsen ; Spaans	07567825X	07567825X	1
studietoetsen ; natuurkunde	075678268	075678268	1
studietoetsen ; economie	075678276	075678276	1
studietoetsen ; aardrijkskunde	075678284	075678284	1
studietoetsen ; wiskunde	075678292	075678292	1
studietoetsen ; elektrotechniek	075678306	075678306	1
studietoetsen ; statistiek	075678314	075678314	1
studietoetsen ; informatica	075678322	075678322	1
sociale uitsluiting	393551466	393551466	1
openbare orde	075678578	075678578	1
sociale veiligheid	241961777	075678578,241961777	2
Palestina (-1948)	393657426	393657426	1
Moezel	075678632	075678632	1
studietoetsen ; klassieke talen	075678667	075678667	1
Ivoorkust	07567873X	07567873X	1
Zuid-Jemen	075678748	075678748	1
Cyprus	075679116	075679116	1
Cyprus ; reisgidsen	317863444	075679116,317863444	2
bijbels	075679191	075679191	1
apocriefen	075599341	075679191,075599341	2
Evangelie van Thomas	216580226	075679191,075599341,216580226	3
apocriefen ; commentaren	075656930	075679191,075599341,075656930	3
jeugdbijbels	075610752	075679191,075610752	2
bijbelverhalen voor de jeugd	305489984	075679191,075610752,305489984	3
Oude Testament	075617765	075679191,075617765	2
Psalmen	075662345	075679191,075617765,075662345	3
targoem	291037445	075679191,075617765,291037445	3
Nieuwe Testament	075616572	075679191,075616572	2
Evangelie naar Matteüs	075661721	075679191,075616572,075661721	3
Bergrede	156517361	075679191,075616572,075661721,156517361	4
Evangelie naar Marcus	07566173X	075679191,075616572,07566173X	3
Evangelie naar Lucas	075661748	075679191,075616572,075661748	3
Evangelie naar Johannes	075661756	075679191,075616572,075661756	3
kinderbijbels	075611759	075679191,075611759	2
bijbelverhalen voor de jeugd	305489984	075679191,075611759,305489984	3
Bijbelboeken	230080545	075679191,230080545	2
Micha	075662493	075679191,230080545,075662493	3
Nahum	075662507	075679191,230080545,075662507	3
Habakuk	075662515	075679191,230080545,075662515	3
Sefanja	075662523	075679191,230080545,075662523	3
Haggai	075662531	075679191,230080545,075662531	3
Zacharia	07566254X	075679191,230080545,07566254X	3
Maleachi	075662558	075679191,230080545,075662558	3
Pentateuch	186184743	075679191,230080545,186184743	3
Ezra	158984994	075679191,230080545,158984994	3
Hebreeën (bijbelboek)	260644072	075679191,230080545,260644072	3
Evangelie naar Matteüs	075661721	075679191,230080545,075661721	3
Bergrede	156517361	075679191,230080545,075661721,156517361	4
Evangelie naar Marcus	07566173X	075679191,230080545,07566173X	3
Evangelie naar Lucas	075661748	075679191,230080545,075661748	3
Evangelie naar Johannes	075661756	075679191,230080545,075661756	3
Handelingen der Apostelen	075661764	075679191,230080545,075661764	3
Brieven van Paulus	075661772	075679191,230080545,075661772	3
Brief van Jakobus	075661780	075679191,230080545,075661780	3
Brieven van Petrus	075661799	075679191,230080545,075661799	3
Brieven van Johannes	075661802	075679191,230080545,075661802	3
Brief van Judas	075661810	075679191,230080545,075661810	3
Openbaring van Johannes	075661829	075679191,230080545,075661829	3
Genesis	075662205	075679191,230080545,075662205	3
Exodus	075662213	075679191,230080545,075662213	3
Leviticus	075662221	075679191,230080545,075662221	3
Numeri	07566223X	075679191,230080545,07566223X	3
Deuteronomium	075662248	075679191,230080545,075662248	3
Jozua	075662256	075679191,230080545,075662256	3
Richteren	075662264	075679191,230080545,075662264	3
Ruth	075662272	075679191,230080545,075662272	3
Samuël (I en II)	075662280	075679191,230080545,075662280	3
Koningen (I en II)	075662299	075679191,230080545,075662299	3
Kronieken (I en II)	075662302	075679191,230080545,075662302	3
Nehemia	075662310	075679191,230080545,075662310	3
Ester	075662329	075679191,230080545,075662329	3
Job	075662337	075679191,230080545,075662337	3
Psalmen	075662345	075679191,230080545,075662345	3
Spreuken (bijbelboek)	075662353	075679191,230080545,075662353	3
Prediker	075662361	075679191,230080545,075662361	3
Hooglied	07566237X	075679191,230080545,07566237X	3
Jesaja	075662388	075679191,230080545,075662388	3
Jeremia	075662396	075679191,230080545,075662396	3
Klaagliederen	07566240X	075679191,230080545,07566240X	3
Ezechiël	075662418	075679191,230080545,075662418	3
Daniël	075662426	075679191,230080545,075662426	3
Hosea	075662434	075679191,230080545,075662434	3
Joël	075662442	075679191,230080545,075662442	3
Amos	075662450	075679191,230080545,075662450	3
Obadja	075662469	075679191,230080545,075662469	3
Jona	075662477	075679191,230080545,075662477	3
deuterocanonieke boeken	317233858	075679191,317233858	2
Azoren	075679205	075679205	1
Dominica	420746528	420746528	1
Saint Kitts	420746544	420746544	1
Kempen-Broek (natuurgebied)	396600034	396600034	1
islamofobie	420831835	420831835	1
Egeïsche Zee	396803628	396803628	1
onderhoud	075679566	075679566	1
textielonderhoud	075624109	075679566,075624109	2
tuinonderhoud	075624796	075679566,075624796	2
woningonderhoud	07562771X	075679566,07562771X	2
podcasting	420978828	420978828	1
Zuid-Soedan	42098027X	42098027X	1
Melanesië	07568456X	07568456X	1
Molukken	07563872X	07568456X,07563872X	2
leermiddelen	075685000	075685000	1
leermiddelen ; technisch tekenen	075613611	075685000,075613611	2
leermiddelen ; kunstgeschiedenis	07561362X	075685000,07561362X	2
leermiddelen ; lezen	075629097	075685000,075629097	2
leermiddelen ; maatschappijleer	075629100	075685000,075629100	2
leermiddelen ; machineschrijven	075629119	075685000,075629119	2
leermiddelen ; materialenkennis	075629127	075685000,075629127	2
leermiddelen ; mechanische techniek	075629135	075685000,075629135	2
leermiddelen ; metaalbewerken	075629143	075685000,075629143	2
leermiddelen ; motorvoertuigentechniek	075629151	075685000,075629151	2
leermiddelen ; muziek	07562916X	075685000,07562916X	2
leermiddelen ; natuurkunde	075629178	075685000,075629178	2
leermiddelen ; Nederlands	075629186	075685000,075629186	2
leermiddelen ; omgangskunde	075629194	075685000,075629194	2
leermiddelen ; rechtskennis	075629208	075685000,075629208	2
leermiddelen ; rekenen	075629216	075685000,075629216	2
leermiddelen ; Russisch	075629224	075685000,075629224	2
leermiddelen ; scheikunde	075629232	075685000,075629232	2
leermiddelen ; schrijven	075629240	075685000,075629240	2
leermiddelen ; Spaans	075629259	075685000,075629259	2
leermiddelen ; staatsinrichting	075629267	075685000,075629267	2
leermiddelen ; statistiek	075629275	075685000,075629275	2
leermiddelen ; stenografie	075629283	075685000,075629283	2
leermiddelen ; studielessen	075629291	075685000,075629291	2
leermiddelen ; taal	075629305	075685000,075629305	2
leermiddelen ; veiligheidstechniek	075629313	075685000,075629313	2
leermiddelen ; verkeer	075629321	075685000,075629321	2
leermiddelen ; verkoopkunde	07562933X	075685000,07562933X	2
leermiddelen ; warenkennis	075629348	075685000,075629348	2
leermiddelen ; wereldoriëntatie	075629356	075685000,075629356	2
leermiddelen ; wiskunde	075629364	075685000,075629364	2
leermiddelen ; Italiaans	075637472	075685000,075637472	2
audiovisuele leermiddelen	075650002	075685000,075650002	2
leermiddelen ; Portugees	075679809	075685000,075679809	2
leermiddelen ; milieukunde	075690209	075685000,075690209	2
leermiddelen ; handelscorrespondentie	075687399	075685000,075687399	2
leermiddelen ; toerisme	075687402	075685000,075687402	2
leermiddelen ; verzorging	075687992	075685000,075687992	2
leermiddelen ; tekstverwerken	100849407	075685000,100849407	2
leermiddelen ; techniek	105387002	075685000,105387002	2
leermiddelen ; computerboekhouden	10652920X	075685000,10652920X	2
leermiddelen ; Maleis	107693089	075685000,107693089	2
leermiddelen ; commerciële economie	112492487	075685000,112492487	2
leermiddelen ; kantoorpraktijk	13707753X	075685000,13707753X	2
leermiddelen ; horeca	14224452X	075685000,14224452X	2
leermiddelen ; lichaamsverzorging	166146560	075685000,166146560	2
leermiddelen ; bedrijfsorganisatie	188274081	075685000,188274081	2
leermiddelen ; lichamelijke opvoeding	180834053	075685000,180834053	2
leermiddelen ; algemene natuurwetenschappen	181966646	075685000,181966646	2
leermiddelen ; verpleegkunde	191732486	075685000,191732486	2
leermiddelen ; levensbeschouwing	197590837	075685000,197590837	2
leermiddelen ; aardrijkskunde	075628805	075685000,075628805	2
leermiddelen ; bedrijfsadministratie	075628813	075685000,075628813	2
leermiddelen ; bedrijfseconomie	075628821	075685000,075628821	2
leermiddelen ; bedrijfsrekenen	07562883X	075685000,07562883X	2
leermiddelen ; biologie	075628848	075685000,075628848	2
