itemNumber	string	score
4529	endarterectomy	2
4530	schoolverlaters	2
4531	financial services	2
4532	dobutamine	2
4533	groeistoornissen	2
4534	growth retardation	2
4535	topotecan	2
4536	juvenile idiopathic arthritis	2
4537	interculturality	2
4538	passenger	2
4539	rolling stock	2
4540	social epidemiology	2
4541	enzyme	2
4542	peritonitis	2
4543	sex chromosomes	2
4544	hemoglobin	2
4545	hypertensive disorders	2
4546	volatility	2
4547	systolic function	2
4548	facial clefts	2
4549	congenital malformations	2
4550	cardiogenic shock	2
4551	gastrointestinal ischemia	2
4552	mupirocin	2
4553	medical genetics	2
4554	contagion	2
4555	copulas	2
4556	correlations	2
4557	tail dependence	2
4558	value-at-risk	2
4559	cancer therapies	2
4560	overconfidence	2
4561	mood disorders	2
4562	wisdom	2
4563	molecular mimicry	2
4564	heterozygosity	2
4565	suppressor genes	2
4566	long term follow-up	2
4567	fluorescence microscopy	2
4568	probiotics	2
4569	health education	2
4570	formalization	2
4571	liver tumors	2
4572	trust repair	2
4573	glucocorticoid receptor	2
4574	myocardial	2
4575	myocardial infarct	2
4576	organ transplantattion	2
4577	vascular smooth muscle	2
4578	myogenesis	2
4579	ubiquitylation	2
4580	fatty liver	2
4581	bilingualism	2
4582	inhibitors	2
4583	inhalation	2
4584	human papillomavirus	2
4585	contracts	2
4586	tobramycin	2
4587	cardio-vascular diseases	2
4588	sexually transmitted diseases	2
4589	stem cell transplantation	2
4590	polyneuropathy	2
4591	microdialysis	2
4592	delivery	2
4593	measles	2
4594	autoimmune thyroid disease	2
4595	neural crest	2
4596	morphometry	2
4597	synapses	2
4598	iron metabolism	2
4599	chronic venous diseases	2
4600	endovascular surgery	2
4601	nucleos(t)ide analogues	2
4602	biological clock	2
4603	mental health care	2
4604	thyroxine	2
4605	global change	2
4606	workplace	2
4607	adoption	2
4608	meningiomas	2
4609	fetal pancreas	2
4610	hart-en vaatziekten	2
4611	orale toediening	2
4612	hereditary	2
4613	nierinsufficientie	2
4614	stadswijken	2
4615	luchtverontreiniging	2
4616	hartspier	2
4617	hypersensitivity	2
4618	honden	2
4619	sociale ongelijkheid	2
4620	endotoxins	2
4621	oestrogenen	2
4622	hechtmateriaal	2
4623	thrombocytes	2
4624	hedge funds	2
4625	portfolio disclosure	2
4626	leucocytes	2
4627	morality	2
4628	reception	2
4629	television	2
4630	lysosomal storage diseases	2
4631	transcutane monitoring	2
4632	zuurstofspanning	2
4633	lutropin	2
4634	agglomeration economies	2
4635	meetmethoden	2
4636	fairness	2
4637	ijzerstofwisseling	2
4638	standard of living	2
4639	hereditary diseases	2
4640	skin malignancies	2
4641	oncologie	2
4642	mensenrechten	2
4643	cell proliferation	2
4644	malignancy	2
4645	critical limb ischemia	2
4646	oogbewegingen	2
4647	optokinetische nystagmus	2
4648	arbeidsomstandigheden	2
4649	schadelijke stoffen	2
4650	nierstenen	2
4651	deafness	2
4652	hospitalization	2
4653	uk	2
4654	electrocardiogram	2
4655	röntgenstraling	2
4656	milt	2
4657	radiotherapie	2
4658	musculoskeletal problems	2
4659	hematopoietic system	2
4660	lymphangiogenesis	2
4661	vascular system	2
4662	haemophilia	2
4663	optic nerve	2
4664	kinetics	2
4665	bestuursrecht	2
4666	rechtsbescherming	2
4667	dynamic imaging	2
4668	financial literacy	2
4669	estimation	2
4670	high-frequency data	2
4671	therapeutic drug monitoring	2
4672	validation	2
4673	sox2	2
4674	testicular germ cell tumors	2
4675	kant	2
4676	critical thinking	2
4677	schadevergoedingsrecht	2
4678	reinforcement learning	2
4679	peripheral nervous system	2
4680	sex development	2
4681	sem	2
4682	dyslipidemia	2
4683	cander	2
4684	neuropathy	2
4685	real estate	2
4686	integrated care	2
4687	ketenzorg	2
4688	neurological disorders	2
4689	tutors	2
4690	self-control	2
4691	intestinal flora	2
4692	lymphoid cells	2
4693	multidimensional	2
4694	immune reactions	2
4695	intrauterine pressure	2
4696	myometrium	2
4697	reflux oesophagitis	2
4698	irinotecan	2
4699	obsessive-compulsive neurosis	2
4700	nerve growth factor	2
4701	salivary glands	2
4702	abortion	2
4703	reflexes	2
4704	biochemistry	2
4705	radiological diagnosis	2
4706	rna virus	2
4707	dietary fat	2
4708	linoleic acid	2
4709	havens	2
4710	low birth weight	2
4711	diplopia	2
4712	informatiemanagement	2
4713	klantgerichtheid	2
4714	randomised controlled trial	2
4715	hyperthyroidism	2
4716	rad54b	2
4717	atrial fibrillation	2
4718	social environment	2
4719	curriculum development	2
4720	stervensbegeleiding	2
4721	typering	2
4722	the rotterdam study	2
4723	health care policy	2
4724	intensive care unit	2
4725	biology	2
4726	human herpes virus	2
4727	immunopathology	2
4728	hemochromatosis	2
4729	oculomotor system	2
4730	socio-economic differences	2
4731	portal hypertension	2
4732	haemodialysis	2
4733	ontogeny	2
4734	balloon dilation	2
4735	anti-inflammatory therapy	2
4736	schoolchildren	2
4737	pelvic	2
4738	coronary stenting	2
4739	inflammatory response	2
4740	left ventrikel	2
4741	hormonal regulation	2
4742	image processing	2
4743	brain stem	2
4744	cortex	2
4745	striatum	2
4746	azathioprine	2
4747	prednisolone	2
4748	bone diseases	2
4749	follow-up study	2
4750	follicle stimulating hormone	2
4751	knee complaints	2
4752	endometrial cancer	2
4753	economic restructuring	2
4754	severe brain damage	2
4755	blood stream	2
4756	thyroid	2
4757	trabecular bone	2
4758	achalasia	2
4759	upper echelons	2
4760	contingency theory	2
4761	externalities	2
4762	linguistics	2
4763	disagreement	2
4764	econometric models	2
4765	institutional development	2
4766	instruments	2
4767	mental retardation	2
4768	legal history	2
4769	dietary modulation	2
4770	cta	2
4771	wellbeing	2
4772	anxiety symptoms	2
4773	retinopathy	2
4774	triglycerides	2
4775	insulin resistance	2
4776	population based	2
4777	ubiquitination	2
4778	genetic factors	2
4779	germ cell cancer	2
4780	patient satisfaction	2
4781	congenital heart defects	2
4782	hypotension	2
4783	agricultural policy	2
4784	sudan	2
4785	microfinance	2
4786	lokaal bestuur	2
4787	political culture	2
4788	agricultural production	2
4789	farms	2
4790	arbeidsmigratie	2
4791	supply and demand	2
4792	prostitution	2
4793	philippines	2
4794	central banks	2
4795	plattelandsontwikkeling	2
4796	milieueffecten	2
4797	interventional radiology	2
4798	medical imaging	2
4799	plattelandsbevolking	2
4800	return migration	2
4801	power (social sciences)	2
4802	niet-gouvernementele organisaties	2
4803	sociaal isolement	2
4804	marginality	2
4805	development economics	2
4806	conflictmanagement	2
4807	property rights	2
4808	rechten	2
4809	erfrecht	2
4810	inheritance	2
4811	politieke situatie	2
4812	state	2
4813	social movements	2
4814	nepal	2
4815	ontwikkelingsproblematiek (culturele antropologie)	2
4816	survival prediction	2
4817	tia	2
4818	biological treatment	2
4819	bloedspiegel	2
4820	schildklierhormonen	2
4821	thrombolysis	2
4822	knowledge bases	2
4823	knowledge flows	2
4824	knowledge integration	2
4825	labour migration	2
4826	projects	2
4827	asset specificity	2
4828	buyers	2
4829	reasons	2
4830	economic performance	2
4831	mechanisms	2
4832	risks	2
4833	generalizability	2
4834	influence	2
4835	crops	2
4836	businesses	2
4837	conceptualization	2
4838	business networks	2
4839	margins	2
4840	theory	2
4841	districts	2
4842	punishment	2
4843	mll	2
4844	bowel diseases	2
4845	rechtsgeschiedenis	2
4846	metastatic melanoma	2
4847	salt	2
4848	reumatoide arthritis	2
4849	lesotho	2
4850	glucagon	2
4851	gluconeogenese	2
4852	survival figures	2
4853	androgenen	2
4854	renin secretion	2
4855	hypofyse	2
4856	dose	2
4857	guidelines	2
4858	polytetrafluorethyleen	2
4859	constipation	2
4860	activities	2
4861	ms	2
4862	gene-environment interaction	2
4863	mirnas	2
4864	endothelium	2
4865	genomic instability	2
4866	brain damage	2
4867	flocculus	2
4868	interleukine-3	2
4869	sociale hulpverlening: overige	2
4870	lifestyle risk factors	2
4871	likelihood	2
4872	microeconomics	2
4873	informal sector	2
4874	coronary calcification	2
4875	kidney disease	2
4876	sancties	2
4877	coronairy heart diseases	2
4878	organizational identification	2
4879	respect	2
4880	organization science	2
4881	ptca	2
4882	credit risk	2
4883	health expenditures	2
4884	railway operations	2
4885	real-time dispatching	2
4886	geografie	2
4887	geographic information systems	2
4888	diabetes mellitus type i	2
4889	decarboxylase	2
4890	cataract	2
4891	verstandelijke beperking	2
4892	celbiology	2
4893	tricuspid valve	2
4894	oncogenes	2
4895	subarachnoid hemorrhage	2
4896	diarrhea	2
4897	encephalopathy	2
4898	dogs	2
4899	bombesine	2
4900	international migration	2
4901	ijzer	2
4902	poultry	2
4903	trace elements	2
4904	positive end-expiratory pressure	2
4905	blood flow velocity	2
4906	maternal smoking	2
4907	semantic web	2
4908	visibility	2
4909	skull growth	2
4910	copulatie	2
4911	geslachtshormonen	2
4912	preschool	2
4913	aetiology	2
4914	optic neuritis	2
4915	visual function	2
4916	older adults	2
4917	preconception	2
4918	trombo-embolie	2
4919	photography	2
4920	x chromosome inactivation	2
4921	graft survival	2
4922	physical symptoms	2
4923	cognitive development	2
4924	young	2
4925	angioplasty	2
4926	partnerkeuze	2
4927	adenosine	2
4928	interleukin 2	2
4929	time	2
4930	shared leadership	2
4931	heroin	2
4932	cocaine	2
4933	profiling	2
4934	preschoolers	2
4935	health care costs	2
4936	antagonists	2
4937	medische ethiek	2
4938	survivors	2
4939	mental fatigue	2
4940	respiratoty diseases	2
4941	thyroid diseases	2
4942	carcinoma	2
4943	enzyme-replacement therapy	2
4944	renin	2
4945	conformity	2
4946	oxytocin	2
4947	column generation	2
4948	inventory control	2
4949	spare parts	2
4950	regulatory focus	2
4951	genome-wide association study	2
4952	percutaneous transluminal coronary angioplasty	2
4953	artery diseases	2
4954	perinatal mortality	2
4955	lipoprotein metabolism	2
4956	urethritis	2
4957	maligne tumoren	2
4958	hyperactivity	2
4959	biopsy	2
4960	end of life care	2
4961	forensic	2
4962	physical appearance	2
4963	neuropathology	2
4964	verkeersongevallen	2
4965	wetgeving	2
4966	tumorigenesis	2
4967	hypoxemia	2
4968	oligodendroglioma	2
4969	views	2
4970	methods	2
4971	molecular analysis	2
4972	il-8	2
4973	doctor	2
4974	probability theory	2
4975	lot-sizing	2
4976	mixed integer programming	2
4977	production planning	2
4978	nervous system	2
4979	western europe	2
4980	mathematical programming	2
4981	plaques	2
4982	financial stability	2
4983	alzheimer disease	2
4984	microvascularization	2
4985	metabolic disorder	2
4986	embryonic stem cells	2
4987	distance education	2
4988	b lymphocytes	2
4989	hospital care	2
4990	taiwan	2
4991	plaque	2
4992	probleemgestuurd onderwijs	2
4993	breastfeeding	2
4994	c-reactive protein	2
4995	rural development	2
4996	schumpeter	2
4997	behavioural problems	2
4998	rt-pcr	2
4999	oseltamivir	2
5000	h1n1	2
5001	luminex	2
5002	mri scans	2
5003	cardiac output	2
5004	cyclosporin a	2
5005	early pregnancy	2
5006	pompe's disease	2
5007	oxygen uptake	2
5008	coronary flow	2
5009	positron emission tomography	2
5010	rabbit (pigmented dutch belted)	2
5011	premedication	2
5012	hypnorm	2
5013	anaesthesia	2
5014	chondrogenesis	2
5015	epo	2
5016	anemia	2
5017	iodothyronines	2
5018	antiviral therapy	2
5019	vitamin b12	2
5020	transient ischemic attacks	2
5021	diagnostic research	2
5022	arrhythmia	2
5023	interleukin-2	2
5024	enteric nervous system	2
5025	tests	2
5026	mobilization	2
5027	adrenal gland	2
5028	influenza vaccination	2
5029	necrosis	2
5030	septicemia	2
5031	angina pectoris	2
5032	intracellular	2
5033	congenital diseases	2
5034	demography	2
5035	radical	2
5036	skeletal muscle	2
5037	keratoplasty	2
5038	icu	2
5039	mediastinum	2
5040	monoclonal antibody	2
5041	veterinary immunology	2
5042	respiratory tract infections	2
5043	cvd	2
5044	eps	2
5045	aaa	2
5046	wrist	2
5047	exposure	2
5048	csb	2
5049	creative industries	2
5050	severe mental illness	2
5051	competencies	2
5052	depressive symptoms	2
5053	premalignant gastric lesions	2
5054	variceal bleeding	2
5055	transjugular intrahepatic portosystemic shunt	2
5056	magnetic resonance	2
5057	retrieval practice	2
5058	mergers & acquisitions	2
5059	gastrointestinal endoscopy	2
5060	microglia	2
5061	musculoskeletal system	2
5062	energy expenditure	2
5063	nerve regeneration	2
5064	us	2
5065	institutional logics	2
5066	research methodology	2
5067	brain structure	2
5068	transshipment terminals	2
5069	dispatching rules	2
5070	heuristics	2
5071	logic	2
5072	embeddedness	2
5073	sociale politiek	2
5074	verwachtingen	2
5075	veroudering (biologie	2
5076	psychologie)	2
5077	collaboration	2
5078	hla	2
5079	yeast two-hybrid system	2
5080	flanders	2
5081	democratie	2
5082	interest groups	2
5083	legitimation	2
5084	competitive exclusion	2
5085	economic policy	2
5086	political action	2
5087	maatschappij	2
5088	waarden	2
5089	wastes	2
5090	sensory signalling	2
5091	optical spectroscopy	2
5092	albuminuria	2
5093	economische analyse	2
5094	belastingen	2
5095	vertegenwoordiging (recht)	2
5096	prognose	2
5097	return to work	2
5098	mathematical modelling	2
5099	environmental protection	2
5100	pollution control	2
5101	airways	2
5102	agency theorie	2
5103	depressie	2
5104	structural equation modeling	2
5105	task complexity	2
5106	aldosterone	2
5107	cardiomyocyte	2
5108	citizen participation	2
5109	protein interactions	2
5110	predictive factors	2
5111	myeloide leukemie	2
5112	virusinfecties	2
5113	behandelingsmethoden	2
5114	strategic alliance	2
5115	asielrecht	2
5116	embolie	2
5117	beroepen	2
5118	georganiseerde misdaad	2
5119	genetic epidemiology	2
5120	doping	2
5121	urodynamica	2
5122	elektrofysiologie	2
5123	purchase timing	2
5124	governance networks	2
5125	time series analysis	2
5126	government policy	2
5127	educational attainment	2
5128	laterality	2
5129	nanomedicine	2
5130	muts	2
5131	mutl	2
5132	muth	2
5133	respiratory infections	2
5134	arteriosclerosis	2
5135	asd	2
5136	chromosome conformation capture	2
5137	germ cell development	2
5138	functional genomics	2
5139	magnetic nanoparticles	2
5140	tem	2
5141	bubbles	2
5142	evaluation research	2
5143	hplc	2
5144	goal orientation	2
5145	voedingstoestand	2
5146	young children	2
5147	scoring system	2
5148	information extraction	2
5149	natural language processing	2
5150	ontologies	2
5151	registry	2
5152	research	2
5153	clinical	2
5154	routines	2
5155	temptations	2
5156	pulmonary function test	2
5157	respiratory infection	2
5158	father	2
5159	mother	2
5160	intersex	2
5161	company performance	2
5162	social cognition	2
5163	arterial stiffness	2
5164	conformational change	2
5165	crystallography	2
5166	functional decline	2
5167	insulin-like growth factor	2
5168	vascular endothelial growth factor	2
5169	cardiovascular health	2
5170	xist	2
5171	cardiometabolic health	2
5172	cad	2
5173	knee problems	2
5174	museum exhibitions	2
5175	history learning	2
5176	world war ii	2
5177	holocaust	2
5178	extrapolation	2
5179	alternative splicing	2
5180	transrepression	2
5181	triamcinolone	2
5182	glucocorticoid sensitivity	2
5183	activity rhythm	2
5184	quality indicators	2
5185	carotid	2
5186	critically ill patients	2
5187	infection control	2
5188	hygiene	2
5189	cyp2d6	2
5190	tdm	2
5191	governmentality	2
5192	language lateralization	2
5193	prader-willi syndrome	2
5194	intracoronary imaging	2
5195	outcome assessment	2
5196	hip fracture	2
5197	als	2
5198	sovereign credit risk	2
5199	expectations	2
5200	bank loans	2
5201	statins	2
5202	frailty	2
5203	vascularization	2
5204	folate	2
5205	polyunsaturated fatty acids	2
5206	bangladesh	2
5207	rolling stock rescheduling	2
5208	innovation management	2
5209	performance measurement	2
5210	government intervention	2
5211	cardiac arrest	2
5212	chronic illness	2
5213	wales	2
5214	ceos	2
5215	equity	2
5216	hyperresponsiveness	2
5217	intracranial aneurysm	2
5218	welfare state	2
5219	embodied cognition	2
5220	brain imaging	2
5221	adhd	2
5222	brain development	2
5223	health-related quality of life (hrqol)	2
5224	infarct size	2
5225	succinate dehydrogenase	2
5226	counter-terrorism	2
5227	ukraine	2
5228	doctor-patient communication	2
5229	cost effectiveness analysis	2
5230	prosocial behaviour	2
5231	meta-organizations	2
5232	computational fluid dynamics	2
5233	cardiovascular factors	2
5234	tp53	2
5235	philosophy of education	2
5236	werkgevers	2
5237	werknemers	2
5238	opsporing	2
5239	werkloosheid	2
5240	autonomie	2
5241	cluster analysis	2
5242	item response theory	2
5243	sunitinib	2
5244	cross-reactivity	2
5245	h7n9	2
5246	circulating endothelial cells	2
5247	uca	2
5248	brazil	2
5249	latent class analysis	2
5250	raman spectroscopy	2
5251	stem cell	2
5252	presenile dementia	2
5253	arterial spin labeling	2
5254	social constructivism	2
5255	criminaliteit	2
5256	hif-1α	2
5257	expression profiling	2
5258	tyrosine kinase inhibitors	2
5259	informed consent	2
5260	dislocation	2
5261	whiplash	2
5262	brain mri	2
5263	imrt	2
5264	zoonosis	2
5265	abcg2	2
5266	critical illness	2
5267	financial reporting	2
5268	il-2	2
5269	p-gp	2
5270	schuld	2
5271	verkeersrecht	2
5272	turner syndrome	2
5273	interrupter technique	2
5274	kennis	2
5275	metacognition	2
5276	interference	2
5277	segregation	2
5278	physics	2
5279	migrant	2
5280	young adult	2
5281	sick leave	2
5282	households	2
5283	optimisation	2
5284	ethiek	2
5285	arts	2
5286	network	2
5287	knowledge construction	2
5288	job crafting	2
5289	intercellular communication	2
5290	moral hazard	2
5291	adverse selection	2
5292	computed tomography (ct)	2
5293	chronic obstructive pulmonary disease	2
5294	time-series analysis	2
5295	drug reimbursement	2
5296	dynein	2
5297	neuronal migration	2
5298	prestaties	2
5299	primair onderwijs	2
5300	actors	2
5301	neighbourhood	2
5302	chest	2
5303	microtubules	2
5304	clonality	2
5305	search	2
5306	wetenschapsbeleid	2
5307	onderwijsbeleid	2
5308	premature delivery	2
5309	wnt signaling	2
5310	erythrocyte	2
5311	leukocyte	2
5312	egfr	2
5313	cd8	2
5314	hematopoeietic stem cells	2
5315	civic engagement	2
5316	b cell	2
5317	hpv	2
5318	ferret	2
5319	access	2
5320	facs	2
5321	tumor microenvironment	2
5322	tlr	2
5323	reflectie (filosofie)	2
5324	sportpsychologie	2
5325	sportsociologie	2
5326	tweedimensionale systemen	2
5327	russisch	2
5328	85.30	2
5329	composietmaterialen	2
5330	prokaryoten	2
5331	anionen	2
5332	chloriden	2
5333	35.62	2
5334	acidose	2
5335	rhizosfeer	2
5336	concussion	2
5337	vermoeidheid	2
5338	somatoforme stoornissen	2
5339	elliptische oppervlakken	2
5340	algebraïsche meetkunde	2
5341	leraren	2
5342	topologie	2
5343	elektriciteitsvoorziening	2
5344	elektrische centrales	2
5345	moleculaire spectrometrie	2
5346	nevels (astronomie)	2
5347	observatoria	2
5348	koolwaterstoffen	2
5349	plantenveredeling	2
5350	materiaalkunde: algemeen	2
5351	zwavelwaterstof	2
5352	hoge-energiefysica	2
5353	zoutgehalte	2
5354	1650-1700	2
5355	kosmisch web	2
5356	agrarisch recht	2
5357	sociale vergelijking	2
5358	geschiedenis (vorm),	2
5359	volleybal	2
5360	pezen	2
5361	springen	2
5362	knieschijf	2
5363	persoonlijkheidsleer	2
5364	grafvelden	2
5365	syros	2
5366	polyacrylaat	2
5367	chromatografie	2
5368	44.65 chirurgie (geneeskunde)	2
5369	moleculaire chaperonnes	2
5370	huwelijk	2
5371	dood	2
5372	romans	2
5373	phaeocystis	2
5374	kwaliteitsverbetering	2
5375	sequenties	2
5376	verkeersgeneeskunde	2
5377	psychologie van de pasgeborene	2
5378	synthesegas	2
5379	platina	2
5380	acylering	2
5381	methoden, technieken en organisatie van	2
5382	materialen	2
5383	biomedisch onderzoek	2
5384	44.05	2
5385	oplosbaarheid	2
5386	spoorelementen	2
5387	beleidsinstrumenten	2
5388	sociaal-verzekeringsrecht	2
5389	candida albicans	2
5390	anastomose	2
5391	1940-1950	2
5392	1930-1940	2
5393	lysine	2
5394	coronary bypass	2
5395	proefschriften (vorm) ;	2
5396	bodembacterièen	2
5397	rhizoctonia solani	2
5398	arbeid	2
5399	arbeids- en organisatiepsychologie	2
5400	probleemgedrag	2
5401	endoscopie	2
5402	management informatiesystemen	2
5403	15.80	2
5404	kystische aandoeningen	2
5405	personen- en familierecht	2
5406	adjuvantia	2
5407	kystische fibrose	2
5408	fixeren (biologie)	2
5409	postoperatieve zorg	2
5410	varkens	2
5411	röntgensterrenkunde	2
5412	technieken en organisatie van	2
5413	ionenkanalen	2
5414	mechanochemistry	2
5415	motorisch systeem	2
5416	synapsen	2
5417	sociale interactie	2
5418	theorie van de onderneming	2
5419	verontreinigingen	2
5420	mozambique	2
5421	44.75	2
5422	liberalisatie	2
5423	graan	2
5424	rhodococcus	2
5425	steroèiden	2
5426	noordpoolgebied	2
5427	geschiedenis van europa;	2
5428	roemenië	2
5429	sociale gezondheidszorg	2
5430	44.10	2
5431	dengue-virussen	2
5432	kanker, revalidatie	2
5433	dipolen	2
5434	fosfotransferase	2
5435	lupus erythematodes disseminatus,	2
5436	computermodellen	2
5437	druk	2
5438	hydrops	2
5439	sociale beïnvloeding	2
5440	bedrijfsfinanciering	2
5441	onvolledige concurrentie	2
5442	83.66	2
5443	staatsrecht: algemeen	2
5444	kleuters	2
5445	aandachtstekortstoornis met hyperactiviteit,	2
5446	green-functies	2
5447	oliën	2
5448	pyrolyse	2
5449	81.75	2
5450	sulfonen	2
5451	18.10	2
5452	ferro-elektriciteit	2
5453	microbiologie ;	2
5454	gletsjers	2
5455	spitsbergen	2
5456	moeders	2
5457	tandvullingen	2
5458	politieke filosofie	2
5459	toll-like receptoren	2
5460	duitsland,	2
5461	contactverschijnselen	2
5462	experimenteel onderzoek	2
5463	efficiëntie	2
5464	niet-commerciële organisaties	2
5465	steroïden	2
5466	fosforverbindingen	2
5467	fotogeleiding	2
5468	intramurale	2
5469	politie (bestuurskunde)	2
5470	symptomen	2
5471	43.47	2
5472	endosymbiose	2
5473	gebruik van dieren	2
5474	extremofielen	2
5475	sedimenten	2
5476	natural killer cellen	2
5477	verbindingen (chemie)	2
5478	magneto optisch kerr effect	2
5479	1860-1870	2
5480	mondiale milieuthema's	2
5481	urologie, 44.85 cardiologie	2
5482	sint-petersburg (stad)	2
5483	zelfhulp	2
5484	supersymmetrie	2
5485	straffen	2
5486	duitse letterkunde	2
5487	marokkanen	2
5488	icsi	2
5489	recht(sgeschiedenis) van afzonderlijke landen, gebieden en v	2
5490	geld	2
5491	44.52	2
5492	thiofenen	2
5493	elektronica	2
5494	cerebrale verlamming	2
5495	kwantumoptica	2
5496	tunneleffect	2
5497	indium	2
5498	gallium	2
5499	monolayers	2
5500	welzijn	2
5501	44.68	2
5502	covariantieanalyse	2
5503	2000 v.c.-1500 v.c.	2
5504	cognitiewetenschap	2
5505	11xx	2
5506	attituden	2
5507	dystrofie	2
5508	protistologie	2
5509	elektro-encefalografie	2
5510	archeologische vindplaatsen	2
5511	magnetoweerstand	2
5512	fase-effecten	2
5513	46.12	2
5514	bacteriofagen	2
5515	sfingolipiden	2
5516	dyslipidemie	2
5517	hyfen	2
5518	schildklier, kanker	2
5519	duits	2
5520	glycosyltransferasen	2
5521	systematische godsdienstwetenschap: algemeen	2
5522	vergelijkingen van maxwell	2
5523	oppervlaktetechnieken	2
5524	visco-elasticiteit	2
5525	fosfotransferases, mannitol, escherichia coli,	2
5526	zambia	2
5527	noord-atlantische oceaan	2
5528	copolymeren	2
5529	bloedonderzoek	2
5530	grijpen	2
5531	sociale dilemma's	2
5532	infectieziekten, parasitaire ziekten (diergeneeskunde)	2
5533	hypothalamisch-hypofysair systeem	2
5534	webservices	2
5535	bedrijfsprocessen	2
5536	domein (wiskunde)	2
5537	compositie	2
5538	bladeren	2
5539	hagiografie	2
5540	joint ventures	2
5541	abstractie	2
5542	duurzaamheid (milieu)	2
5543	zwangerschapshypertensie	2
5544	random walks (statistiek)	2
5545	auteursrecht	2
5546	intellectuele eigendom	2
5547	kindersterfte	2
5548	ergonomie	2
5549	sotalol	2
5550	flecainide	2
5551	persoonlijkheidskenmerken	2
5552	psychische $problemen	2
5553	hulpverleners	2
5554	hydrogel	2
5555	fotochromie	2
5556	economische geografie	2
5557	malawi	2
5558	ribosomen	2
5559	groeisnelheid	2
5560	biologie	2
5561	wisselwerking	2
5562	interpersoonlijke communicatie	2
5563	afkeer	2
5564	proteïnasen	2
5565	radioactief verval	2
5566	relativistische benadering	2
5567	1800-1810	2
5568	numerieke analyse	2
5569	teamwork	2
5570	seksualiteit als sociaal probleem	2
5571	oudindische taal- en/of letterkunde	2
5572	begrip	2
5573	caribisch gebied	2
5574	oost-groningen	2
5575	ferromagnetische stoffen	2
5576	magnetische relaxatie	2
5577	sikkelcelziekte	2
5578	1984-1987	2
5579	lanthaniden	2
5580	interfaces (chemie)	2
5581	gegevensverzameling	2
5582	800 v.c.-500 v.c.	2
5583	mesopotamische godsdiensten	2
5584	ruimtelijke ordening	2
5585	planologie: algemeen	2
5586	verstuiven	2
5587	auger-elektronen	2
5588	ionenemissie	2
5589	elektronenemissie	2
5590	interactieve computerprogramma's	2
5591	sociale bewegingen	2
5592	aspartaat ammonia-lyase	2
5593	wervelkolom	2
5594	amyloïdose	2
5595	lichamelijke opvoeding	2
5596	technologiebeleid	2
5597	rhodium, fosforamidieten, hydrogenering , symmetrie , chiral	2
5598	grassenfamilie	2
5599	splitsing	2
5600	àzerverbindingen	2
5601	reactiekinetiek	2
5602	vrije tijd	2
5603	longen, transplantatie, bronchiolitis	2
5604	oxiden	2
5605	1945-1987	2
5606	cognitieve therapie	2
5607	quaternaire ammoniumverbindingen	2
5608	immuniteit	2
5609	regionale verschillen	2
5610	calorimetrie	2
5611	kijkgedrag	2
5612	tandenpoetsen	2
5613	74.83	2
5614	vertalingen	2
5615	11.41	2
5616	51.12	2
5617	ising-model	2
5618	computerspellen	2
5619	economie en maatschappij	2
5620	vissen (dierkunde)	2
5621	noord-fries	2
5622	paarden (dieren)	2
5623	benin (land)	2
5624	gal	2
5625	afstand	2
5626	adenomen	2
5627	maatschappelijke gezondheidszorg: overige	2
5628	meervoudig onverzadigde vetzuren	2
5629	reductionisme	2
5630	apotheken	2
5631	pathogenen	2
5632	lichaamshoudingen	2
5633	voedingssupplementen	2
5634	computermethoden	2
5635	materiaaloppervlakken, materiaalgrensvlakken: algemeen	2
5636	ladingsverdeling	2
5637	glycogeenstapelingsziekten	2
5638	1000-1500	2
5639	pathologie (geneeskunde)	2
5640	magnesiumoxide	2
5641	psychosomatiek	2
5642	heat-shock-proteïnen	2
5643	stof (fijne deeltjes)	2
5644	lactose	2
5645	racemische mengsels	2
5646	ijzeroxide	2
5647	diaminen	2
5648	resorptie	2
5649	fructosyltransferasen	2
5650	kwantumcomputers	2
5651	colloïdale dispersies	2
5652	spuiten	2
5653	inhalatietherapie	2
5654	42.23	2
5655	(theorie)	2
5656	proefschriften (vorm	2
5657	autofagie	2
5658	hydrobiologie	2
5659	roofdieren	2
5660	autorijden	2
5661	balansanalyse	2
5662	opvoedingsmethoden	2
5663	arthroplastie	2
5664	west-europa	2
5665	erosie (geneeskunde)	2
5666	methoden en technieken in de aardwetenschappen	2
5667	spraakwaarneming	2
5668	recidief	2
5669	orthopedische chirurgie	2
5670	typologie (algemeen)	2
5671	keramiek	2
5672	opgravingen	2
5673	15.32	2
5674	44.11	2
5675	encefalomyelitis	2
5676	motorische vaardigheden	2
5677	vaardigheden	2
5678	fysica van elementaire deeltjes en velden: overige	2
5679	creatinine	2
5680	hartlongmachine	2
5681	winterslaap	2
5682	entpolymeren	2
5683	middelnederlands	2
5684	relatiemarketing	2
5685	fermionen	2
5686	ijktheorieën	2
5687	differentiatie (biologie)	2
5688	valproinezuur	2
5689	39.43	2
5690	serengeti-steppe	2
5691	psychiatrische patiënten	2
5692	penicillinase	2
5693	kwantumvloeistoffen, kwantum vaste stoffen	2
5694	landgebruik	2
5695	occitaanse taal- en/of letterkunde	2
5696	vriendschap	2
5697	acridines	2
5698	moleculaire	2
5699	hypotheken	2
5700	filippijnen	2
5701	landbouw en milieu	2
5702	malonaten	2
