itemNumber	string	score	depth
75602156	bruggen	4	1
75600897	besliskunde	4	1
75660393	kinderziekten	4	2
406332118	maan	3	3
75609746	hydraulische techniek	3	2
75607360	gerechtelijke geneeskunde	3	2
75605414	erfrecht	3	2
07561748x	openbare financiën	3	3
75614383	maatschappelijk werk	3	1
75599767	astrochemie	3	2
227580532	kwantumveldentheorie	3	2
75652374	vlinders	3	5
75619539	programmeertalen	3	1
75614804	middelbaar beroepsonderwijs	3	3
216265517	bestuurdersaansprakelijkheid	3	2
75688913	elektrocardiografie	3	3
75617676	organische technische oliën	3	1
75612275	koeltechniek	3	2
34164854x	bestuursprocesrecht	3	3
75621991	sociale ethiek	3	2
75613743	leraren	3	1
188845534	asfalt	3	3
75611368	cartografie	3	1
75610329	internationaal handelsrecht	3	3
07562494x	uitgeverij	3	1
75660814	leesvaardigheid	3	2
75606283	fonologie	3	2
07562575x	verpleegkunde	3	1
75663228	radiochemie	3	2
75609886	immigratie	3	2
75664984	vliegtuigmaterialen	3	4
191475289	onderhandelen	3	2
07561037x	internationaal strafrecht	3	3
75600978	beurswezen	3	2
75604809	economie	3	1
75605899	farmaceutische producten	3	1
75659204	gasvoorziening	3	3
96044020	spraak (computertechniek)	3	2
75659611	groepentheorie (wiskunde)	3	2
263505294	blaaskanker	3	3
215174062	parodontologie	3	3
75656515	aardmagnetisme	3	3
75605848	faillissementsrecht	3	2
07561703x	onderwijsresearch	3	2
315466634	emissiehandel	3	4
75623560	taalwetenschap	3	1
244172382	coeliakie	3	3
75674416	compileerprogramma's	3	2
75601737	bomen	3	2
75614685	marktonderzoek	3	4
75662787	pathologische anatomie	3	4
75663074	prijsontwikkeling	3	1
75625776	verpleegtehuizen	3	1
273852167	microsysteemtechnologie	3	2
75619016	politieke partijen ; nederland	3	3
75612100	klimaatregeling	3	1
75614987	menstruatie(stoornissen)	3	3
75689855	chaostheorie	3	2
75647303	lesgeven	3	1
75665514	wonden	3	2
75618966	politie	3	1
163153388	gebruikersinterfaces	3	2
75687429	indonesië ; economie	3	2
75630974	groningen (stad)	3	3
75606763	geboortenregeling	3	1
75619881	pijpleidingen	3	3
75658380	consumentenrecht	3	2
75658348	concurrentie	3	1
75618974	politiek	3	1
318138980	kalimantan	3	2
75676826	toegepaste chemie	3	2
75607123	geluidsleer	3	2
75664143	subsidies	3	4
75660040	internationale handel	3	2
75610817	jeugdpsychologie	3	4
07564763x	brandwonden	3	3
07565735x	bejaarden ; maatschappij	3	2
75658747	economische delicten	3	2
75604957	elektrische energietechniek	3	3
30838153x	burgerschap	3	2
75600293	basisonderwijs	3	2
75660636	publieke sector	3	2
75598825	alcoholisme	3	2
07561877x	plantenteelt	3	5
75626691	vulkanisme	3	1
317672576	industriële ecologie	3	2
75653559	eritrea	3	1
91392314	middellandse zee	3	1
75616521	neurosen	3	3
317666436	zoönosen	3	3
75627299	werktuigbouwkunde	3	1
75598604	adoptie	3	3
75620766	romeins recht	3	2
75657007	arbeidsproductiviteit	3	4
75669986	duitsland ; geschiedenis	3	2
75617048	onderwijssociologie	3	3
75622815	stadssamenleving	3	3
07561247x	kostprijsberekening	3	3
75654733	scoliose	3	2
75631296	iran	3	1
75618052	papierindustrie	3	3
75601915	bouwkunde	3	1
75661993	ontbossing	3	2
75599228	anticonceptie	3	1
75684896	medisch specialisten	3	2
75615754	morfologie (taalwetenschap)	3	2
75648571	geschiedenis van de geneeskunde	3	2
75617072	onderwijsvernieuwing	3	1
75621053	satellietcommunicatie	3	2
75636204	burgerlijk recht	3	3
75605694	euthanasie	3	1
75611503	keramische technologie	3	2
75607190	geneeskrachtige kruiden	3	4
321640241	botkanker	3	3
75628392	ziekenhuizen	3	1
75686880	syndroom van down	3	3
07563032x	egypte	3	1
185267408	voetgangers	3	2
75627256	werkloosheid	3	4
75661241	mest	3	4
331370514	vredesmissies	3	2
188301097	syndroom van gilles de la tourette	3	3
227849205	variantie-analyse	3	3
75623005	sterven	3	1
75610272	integraalrekening	3	2
75653192	aids	3	3
75660717	landschapsbouw	3	2
14543320x	milieuwetenschappen	3	1
75602776	chemische industrie	3	4
75638630	argentinië	3	3
75659174	fysische technologie	3	2
75612984	landbouwonderwijs	3	2
75663953	inspanningsfysiologie	3	2
75657031	archeologie ; nederland	3	2
75650711	boortechnologie	3	2
75603578	cultuurfilosofie	3	2
75688239	migranten ; gezondheidszorg	3	2
234674717	hagiografie	3	2
75613271	belastingen	3	1
297323547	breuken (mechanica)	3	3
22745944x	cytomegalovirus	3	3
07562110x	schaaldieren	3	4
31767885x	familie(relaties)	3	1
75614456	macro-economie	3	2
75623552	taalstoornissen	3	2
75602571	carrièreplanning	3	2
75598302	aardewerk	3	1
75662167	organisatiepsychologie	3	3
75636794	vervoermiddelen	3	1
75607557	getijden	3	2
269707646	kustwerken	3	4
75660407	kledingindustrie	3	3
75645556	antarctica	3	1
75611325	kapitaalmarkt	3	3
75599678	armoede	3	3
75664992	vliegtestinstrumenten	3	4
75605333	energiebeleid	3	2
07562320x	straffen	3	1
75627590	wiskunde	3	1
75665840	dierengeografie	3	3
75664356	theoretische informatica	3	3
75636220	programmeren	3	1
124140912	internet	3	3
75599945	automatisering	3	1
75620405	relativiteitstheorie	3	2
75605392	epilepsie	3	2
182460185	ziekte van ménière	3	3
255335903	konijnen	3	3
12160800x	multimedia	3	2
75676206	veldtheorie	3	2
75636832	woningbouw	3	1
314818669	non-hodgkinlymfoom	3	3
75607778	gezondheidsrecht	3	2
75665646	maritieme geschiedenis	3	2
75617862	overgangsjaren	3	1
75690810	productinformatie	3	1
75656922	apen	3	3
75607492	geslachtsziekten	3	3
75661055	macht	3	1
75656701	landbouwgeschiedenis	3	2
75607913	gletsjers	3	1
07561149x	kennissociologie	3	3
75636247	rampen	3	1
75640074	maleisië	3	1
75659913	identiteit	3	3
165977477	ultraviolette straling	3	2
75640430	midden-amerika	3	2
75628694	zuivelproducten	3	2
07562737x	wetenschappelijk onderzoek	3	1
07561796x	paddenstoelen	3	4
75627027	weefselleer ; dierkunde	3	1
75635003	huwelijk	3	2
75602032	brandpreventie	3	1
75609371	horecabedrijf	3	2
406626618	cateringbedrijf	3	2
75613662	leerpsychologie	3	3
75629984	bolivia	3	3
75657643	biogeografie	3	2
75604612	druggebruik	3	2
07560339x	consumentenaangelegenheden	3	1
75636352	italië	3	1
75623404	suiker	3	3
230084117	zink	3	3
75606895	geheugenstoornissen	3	2
07561216x	klonen	3	4
75624982	uitvoer	3	2
75660679	landbouwbeleid ; nederland	3	3
189090367	scanning	3	2
75687658	levensstijlen	3	4
75598523	ademhaling	3	1
75599015	amfibieën	3	2
75619385	prehistorie	3	2
75632055	leiden	3	3
185802362	chinezen	3	4
215699319	oost-afrika	3	2
75665158	vrouwen	3	1
75628198	zeeverontreiniging	3	3
274576406	cultureel erfgoed	3	3
146950194	beroepsethiek	3	2
75659182	gammastraling	3	3
75618729	planologie	3	2
75616858	octrooirecht	3	4
75621983	sociale ecologie	3	2
75617633	opvoedingsinrichtingen	2	2
75620863	rubber	2	1
75616572	nieuwe testament	2	2
256181160	contemporaine filosofie (20e en 21e eeuw)	2	2
75656965	arbeidsongeschiktheid	2	1
75620790	roofdieren	2	3
330036203	cultuurparticipatie	2	4
75600102	baggerwerken	2	3
258321415	plantenhormonen	2	3
75627825	filosofische ethiek	2	2
75613735	lepra	2	3
227487303	grondrechten	2	1
273849972	amyotrofische lateraal sclerose	2	2
75685280	gebarentaal	2	2
241392489	schisis	2	3
86892916	contactlenzen	2	4
264577515	ganzen	2	3
242136559	mars (planeet)	2	2
07561832x	patiëntenrecht	2	2
239638948	mensenhandel	2	2
75603780	democratie	2	1
75620227	reclamepsychologie	2	3
93402112	ruimteonderzoek	2	2
75603217	computerprogramma's	2	1
75621789	slechthorendheid	2	3
75611953	klassieke filosofie	2	2
75664208	taalbeheersing	2	1
75606550	funderingstechniek	2	3
75672529	ziekte van huntington	2	2
75627922	ijstijden	2	3
75621258	schilderkunst	2	3
07561040x	interne geneeskunde	2	2
242632106	bedrijfsethiek	2	2
75657015	arbeidspsychologie	2	3
75609312	hoogspanningstechniek	2	3
75614111	logica	2	1
75665557	woningbouwverenigingen	2	3
75687550	europees milieubeleid	2	3
75608979	hermeneutiek	2	1
75601826	borstvoeding	2	3
15383580x	posttraumatische dystrofie	2	2
07565704x	argumenteren	2	2
75659271	geluidshinder ; verkeer	2	3
75608383	groepsdynamica	2	4
75627124	weidevogels	2	3
75622017	sociale geneeskunde	2	2
75622971	sterrenkijkers	2	2
75658585	dierenrecht	2	2
236266306	jeugdstrafrecht	2	3
291033512	paleo-ecologie	2	2
75623838	telecommunicatietechniek	2	2
75601893	bouweconomie	2	2
75663120	projectmanagement	2	2
75610485	islam	2	2
75612976	landbouwcoöperaties	2	3
75607158	gemeentebestuur	2	2
75598280	aardbevingen	2	3
75665069	vogelziekten	2	3
07561605x	mystiek ; religie	2	2
07562155x	seksualiteit	2	1
75620820	rooms-katholieke kerk	2	2
75609738	huwelijksrecht	2	3
75610019	industrie	2	2
256126593	nieuwe filosofie (17e-19e eeuw)	2	2
75678985	spina bifida	2	3
75635143	communicatie	2	1
75600013	autotechniek	2	2
148207103	postmodernisme	2	2
75617013	onderwijsbeleid	2	2
75659239	gehandicapten ; onderwijs	2	2
75601958	bouwnijverheid	2	1
291274978	neutronensterren	2	3
07561135x	kartels	2	1
75625717	vermoeidheid	2	1
75665247	waterkracht	2	2
75661691	neuro-anatomie	2	4
75615029	metaalindustrie	2	3
75663694	seksualiteit ; jongeren	2	2
75608715	hardware (computers)	2	2
75612372	koper	2	2
75603675	dammen (bouwkunde)	2	4
75637898	aruba	2	1
75613638	leermoeilijkheden	2	1
189870575	voorbereidend middelbaar beroepsonderwijs	2	4
264781066	epstein-barr virus	2	3
75614065	lithograferen	2	4
75615983	muziekgeschiedenis	2	2
07562754x	windenergie	2	2
315396946	ziekte van crohn	2	3
75626659	vrijetijdsbesteding	2	2
75606860	gehandicaptenzorg	2	1
07562558x	verkeerstekens	2	1
75631601	's-hertogenbosch	2	3
75626462	volwasseneneducatie	2	3
75617056	onderwijsstimulering	2	1
75611066	kadaster	2	1
75628554	zon	2	3
75607999	godsdienstsociologie	2	3
07566464x	vectorrekening	2	2
75610248	installatietechniek	2	2
75621797	slechtziendheid	2	3
75628511	zintuigen	2	1
75613751	lerarenopleidingen	2	2
75598450	accountancy	2	1
75606836	gedragstherapie	2	2
75664801	vertelkunst	2	2
75614332	lijm	2	1
75604183	dioden	2	3
75601230	bier	2	3
75603713	datacommunicatie	2	2
75627078	weersvoorspelling	2	2
75623013	stervensbegeleiding	2	1
75633485	rotterdam	2	3
270910557	cognitieve therapie	2	3
75669838	patiëntenvoorlichting	2	3
75663937	sportbeoefening	2	2
175796777	benchmarking	2	3
29141270x	visserijbeleid	2	2
75659212	gehandicapte kinderen	2	2
75599937	auto-industrie	2	3
75609800	hygiëne	2	1
75635178	dieren	2	1
75662183	organische mest	2	5
75652382	bijen	2	5
275888126	banc d'arguin	2	2
75616386	nederland ; geschiedenis	2	2
75630796	friesland	2	2
122442083	kolenvergassing	2	1
75661462	mossen	2	2
75600706	belastingrecht	2	2
75625350	vennootschapsbelasting	2	2
75661403	moederschap	2	3
75631342	japan	2	1
75617005	onderwijs	2	1
75662345	psalmen	2	3
75598884	alimentatie	2	2
121683281	eetstoornissen	2	2
96114746	nucleaire geneeskunde	2	2
188447318	deltagebied	2	2
75661624	nederlandse letterkunde ; 19e eeuw	2	3
75628015	zangvogels	2	3
75690926	vervoersrecht	2	2
20281596x	koorts	2	2
75610094	inflatie	2	4
75622327	sparen	2	4
75621207	scheepvaart	2	2
75615487	multiculturele samenleving	2	2
121655849	audiologie	2	1
75665654	zeewater	2	2
75635704	akkerbouw	2	4
75658755	economische crises	2	1
27385576x	outsourcing	2	3
75601680	boerderijen	2	2
115595988	pcb's	2	3
75658054	celtherapie	2	2
75627221	werkgelegenheidspolitiek	2	2
75668610	java (eiland)	2	2
75626233	vluchtelingenvraagstuk	2	1
75626381	volkshuisvesting	2	2
07560597x	feminisme	2	3
75606275	fonetiek	2	2
75604167	differentiaalrekening	2	2
75632713	nederlandse antillen	2	1
75665816	zoetstoffen	2	2
84479604	lexicologie	2	2
75613883	lichamelijk gehandicapten	2	1
75662574	overheid ; automatisering	2	2
75627493	wildbescherming	2	2
75604949	elektrische centrales	2	1
75618737	plantenanatomie	2	3
75625849	vertalen	2	1
75635534	hardlopen	2	3
07561331x	bedrijven	2	1
75661608	nederlandse dialecten	2	3
07563385x	twente	2	3
75624494	transseksualiteit	2	2
75649446	costa rica	2	1
75611430	katten	2	5
75659786	honden ; afzonderlijke rassen	2	4
75607549	getaltheorie	2	2
75657953	thuiszorg	2	3
356293319	bevolkingsdaling	2	2
12625849x	noord-nederland	2	2
75634252	waddenzee	2	1
75659379	geothermische energie	2	2
75607395	gereedschappen	2	1
75608669	handschriften	2	1
75678128	watergebieden	2	1
75599961	automatiseringstechniek	2	2
07565721x	bedrijfsgezondheidszorg	2	2
304488429	rechten van het kind	2	2
75605856	familierecht	2	2
75615509	mineralogie	2	1
75660512	koopwoningen	2	3
75661470	muggen	2	5
75665565	wonen	2	1
155586378	usambara	2	2
294703136	goederenrecht	2	2
75627604	wisselkoersen	2	5
75664399	toegepaste informatica	2	3
75685663	gemeentebeleid	2	2
75687348	fietsverkeer	2	2
75608200	grafologie	2	1
75604221	discriminatie	2	1
75620847	rouw	2	4
07566108x	mannen	2	1
75604191	diplomatie	2	1
75662175	organisch afval	2	3
80705146	djakarta	2	2
75606607	fysiotherapie	2	2
07566481x	verzamelingenleer	2	2
75630931	griekenland	2	1
75607980	godsdienstpsychologie	2	3
75627728	woningvraagstuk	2	1
75609177	hoefdieren	2	3
75640260	groningen (prov.)	2	2
07562673x	voorbereidend wetenschappelijk onderwijs	2	3
334614716	elektrische auto's	2	4
236273361	dwarslaesie	2	2
29637749x	drugsbeleid	2	2
75689057	arbitrage	2	2
75607654	geweld	2	1
75624885	tijdrekening	2	1
75615010	metaalbewerking	2	1
75637871	soedan	2	1
07566139x	moderne devotie	2	2
75611562	kerkgeschiedenis	2	2
24241138x	joint ventures	2	2
240518918	rechtseconomie	2	2
75622084	sociale wetenschappen	2	1
120460165	ouderen ; maatschappij	2	2
75613301	ondernemingen	2	1
75661314	mijten	2	4
75608839	hoger beroepsonderwijs	2	3
75614871	medische sociologie	2	3
75604019	dienstplicht	2	1
07562172x	slaapstoornissen	2	2
75616254	natuurgebieden	2	1
106517139	videofilmtechniek	2	2
75603977	didactiek	2	2
75661950	onderwijsbegeleiding	2	1
75635313	taalkunde	2	1
75624664	tropische vissen	2	3
75664976	vliegtuigconstructies	2	4
75661632	nederlandse letterkunde ; 20e eeuw	2	3
75613131	latijnse letterkunde	2	2
75626810	warmteleer	2	2
155926233	atlantische oceaan	2	1
75619075	pompen	2	1
75626861	waterbouwkunde	2	2
75658968	europese samenwerking	2	1
75616114	coniferen	2	3
106811037	tsjechië	2	1
75687445	publiek-private samenwerking	2	2
75598272	aandelen	2	5
98254073	pragmatiek	2	2
75658011	carrière maken	2	1
99581760	oekraïne	2	1
75609827	hypotheken	2	5
75611376	kartonindustrie	2	3
75618850	plattelandsgeografie	2	3
235698598	kindersterfte	2	2
312981651	uiterwaarden	2	1
75604388	doofheid	2	3
134808223	lobbyisme	2	2
75636816	watervoorziening	2	1
75623528	taalachterstand	2	1
75665417	wieren	2	2
07566111x	marokkanen	2	3
75665026	vluchtelingen	2	1
75624680	tropische vruchten	2	3
75666553	borneo (eiland)	2	1
75601850	bosflora	2	2
75662655	ozon	2	1
75619822	psychotherapie	2	2
11559535x	dioxines	2	3
75615398	milieuhygiëne	2	2
258125586	pilbara	2	2
75666863	technologie en samenleving	2	2
75687984	expertsystemen	2	3
75600471	bedrijfssociologie	2	3
75624648	tropen	2	1
75615797	motivatie	2	4
75665492	wiskunde-onderwijs	2	2
75610779	jeugdgevangenissen	2	2
75664038	steenkool	2	3
75660431	kleuters	2	2
07563886x	sahel	2	2
75680890	middellandse zeegebied	2	1
75629550	amsterdam	2	3
75606437	franse letterkunde	2	2
23525083x	cochabamba	2	4
75622335	spastici	2	2
75635518	gezondheidsleer	2	1
258970537	milieuchemie	2	2
75625253	veengronden	2	1
75613581	colombia	2	3
07560101x	bevolkingsstatistiek	2	2
75613115	lasers	2	1
07565699x	arbeidsmobiliteit	2	2
75617242	ontwikkelingssamenwerking	2	1
75665700	17e eeuw	2	3
75660660	landbouwbeleid ; europa	2	3
163609810	sociotechniek	2	4
75628430	ziektekostenverzekeringen	2	2
07562785x	ijs (geologie)	2	3
75610191	inkoop	2	1
75625628	verkoopkunde	2	4
304295795	water	2	1
75668785	conserveren	2	1
75598760	agrarisch recht	2	3
75629992	chili	2	3
75616335	natuurreservaten	2	1
75677628	verenigde staten	2	3
75607050	geloofsleven	2	1
75612755	kunstmatige satellieten	2	1
07561958x	protestantisme	2	3
75618443	pensionering	2	1
75657155	baby's	2	2
75665735	ziekenhuizen ; economie	2	2
75613077	landschapsbescherming	2	2
75656655	afrikaanse volken	2	3
75661020	lymfvatenstelsel(ziekten)	2	2
75627272	werknemers	2	1
75627442	wettelijke aansprakelijkheid	2	2
75619830	puberteit	2	4
75606925	geiten	2	4
117230707	schoolloopbaan	2	1
161914527	educatieve software	2	3
156728281	trauma's (psychologie)	2	3
136345964	vijvers	2	2
298939150	syndroom van turner	2	3
173816533	rechtsinformatica	2	3
75624877	tijd	2	1
07562074x	sociobiologie	2	2
75672561	combinatietheorie	2	2
75664437	training (sport)	2	1
75684640	decentralisatie	2	2
75660849	levenskunst	2	1
75663678	seksualiteit ; mannen	2	2
75677490	vreemdelingenrecht	2	2
75637987	vrijwilligerswerk	2	2
75610108	informatietheorie	2	1
75626055	visserij	2	3
75677504	mondheelkunde	2	2
167259032	ambulancehulpverlening	2	2
75615444	militairen	2	2
75622033	sociale klassen	2	1
205442609	eutrofiëring	2	1
75605422	ergonomie	2	1
75688883	automatisch vertalen	1	2
301045054	domotica	1	2
75679779	verzekeringsrecht	1	2
21566180x	prionziekten	1	2
18906515x	cartesianisme	1	2
184818672	aanbestedingsrecht	1	2
75616742	notariaat	1	1
75635054	religieuze bouwkunst	1	3
314850244	auditing	1	1
75612739	kunstmatige inseminatie (mens)	1	2
75625644	verkoudheid	1	3
75625768	verpleegkundigen	1	1
75611597	kerkvaders	1	2
75606992	geldverkeer	1	2
75625172	vakkenpakketkeuze	1	1
75620154	rechtsfilosofie	1	2
75664828	verzoening (theologie)	1	2
75658070	chemisch onderzoek	1	2
75611813	kindermishandeling	1	2
191500151	decubitus	1	3
291385893	syndroom van sotos	1	3
75606232	flora	1	1
75601583	boeddhisme	1	2
75660296	kernreactie	1	1
75661586	natuuronderwijs	1	2
75625571	verkeersongelukken	1	2
75619717	psychiatrische centra	1	2
189892900	intuïtionisme (wiskunde)	1	2
75601982	bouwwetgeving	1	2
75611961	klassieke oudheid	1	3
189887990	cryptologie	1	1
75659220	gehandicapten ; beleid	1	2
75650274	anorexia nervosa	1	3
75661446	mondziekten	1	2
75608596	handelswetenschappen	1	1
75615630	windmolens	1	1
75606178	filosofie	1	1
157073491	geloof en wetenschap	1	1
148619576	whiplash	1	2
75620391	rekenstoornissen	1	2
07561054x	italiaanse letterkunde	1	2
75658917	erfpacht	1	2
75627698	woninghygiëne	1	2
07561913x	popmuziek	1	3
75660334	kinderloosheid	1	1
75603659	daltononderwijs	1	2
75668041	sponzen	1	3
75623021	stervensbegeleiding ; medische aspecten	1	2
258322926	ondergronds bouwen	1	3
75618389	pedagogiek	1	2
75612682	kunstbeleid	1	2
291382223	syndroom van prader-willi	1	3
75607506	gesprekstechniek	1	1
75664879	veteranenziekte	1	2
75616777	numismatiek	1	1
75616432	nederlandse taalkunde	1	2
291429092	beslag- en executierecht	1	4
07561314x	latijnse taalkunde	1	2
212687778	wavelet theorie	1	3
75611589	kerkrecht	1	2
75605031	elektro-akoestiek	1	4
75617188	ontslagrecht	1	2
75624559	trekvogels	1	3
184818842	mededingingsrecht	1	2
75616130	naamkunde	1	1
75627817	filosofische antropologie	1	2
75620774	romeinse rijk	1	4
75619598	protestantse kerken	1	2
75659662	grootwinkelbedrijf	1	3
75663562	schakeltechniek	1	2
75608421	grondwet	1	2
75664216	taalonderwijs	1	2
75660261	kerk en maatschappij	1	2
75620367	rekenkunde	1	2
75616904	ombudsman	1	1
75625407	verbrandingsturbines	1	4
75614626	marihuana	1	4
75607956	godsdienstfilosofie	1	2
75601494	bloembiologie	1	2
75658534	deegwaren	1	2
75664291	techniek ; geschiedenis	1	2
75666960	creooltalen	1	2
75663872	spelling	1	3
75659190	gassen ; natuurkunde	1	2
75610167	inkomensbesteding	1	4
75679922	amazone (rivier)	1	3
75612992	landbouworganisaties	1	4
75605740	existentialisme	1	2
07565993x	individualisering	1	2
75664585	uranium	1	1
75603055	classificaties	1	1
75657309	bedrijven ; automatisering	1	2
163329117	edi	1	3
75607875	glasvezeltechniek	1	3
75661071	management ; non-profitorganisaties	1	2
75615215	micro-economie	1	2
75610922	journalistiek	1	1
75690411	grafische programma's	1	2
75662698	parkeren	1	1
215863674	india ; economie	1	2
299111229	socialezekerheidsrecht	1	2
75658771	verlofregelingen	1	4
75624451	transformatoren	1	1
75608081	goud	1	3
75616408	nederland ; sociografie	1	2
291372171	publieke opinie	1	1
75664089	strafprocessen	1	1
75657511	bewegingsoefeningen	1	2
75623846	telefonie	1	3
75664070	stoma's	1	1
75636123	navigatie	1	1
75606496	friesland ; geschiedenis	1	3
75620634	revoluties	1	1
75663031	potplanten	1	2
75627183	wereldoorlog ii	1	2
75636050	terschelling	1	3
75662191	osmose	1	3
75605376	enquêtes	1	2
41683826x	elektronische patiëntendossiers	1	4
255802099	genetische algoritmen	1	2
75609983	indonesië ; geschiedenis	1	2
75620960	russische taalkunde	1	2
240584244	tsjetsjenië	1	2
75614154	lood	1	2
75689766	kaukasus	1	1
301076766	conflictbemiddeling	1	1
75606097	filmkunst	1	2
75664755	verlamming	1	3
162706189	limnologie	1	4
75602229	letterkunde ; overige talen	1	2
75647605	mesopotamië	1	2
07560955x	huishoudbudget	1	2
75625679	verlichtingstechniek	1	2
75619806	psychosomatische geneeskunde	1	2
75623579	tabak	1	2
310706041	koude oorlog	1	3
75620197	reclame	1	1
75602318	burgerlijk procesrecht	1	3
267645848	stortgoed	1	2
207318727	tijdmanagement	1	2
07562771x	woningonderhoud	1	2
75625792	verslaving	1	1
07563872x	molukken	1	2
07560244x	bijenteelt	1	6
75599481	arbeidsbemiddeling	1	2
75673827	schiphol	1	3
75688085	georganiseerde misdaad	1	2
75619849	public relations	1	1
75624656	tropische groenten	1	3
75683253	rekenonderwijs	1	2
75605910	fascisme	1	2
387520082	3d-printen	1	2
07998746x	intramurale gezondheidszorg	1	2
164139699	elektronische post	1	3
75606526	friesland ; sociografie	1	3
75636662	oorlogen	1	1
75633868	sierra leone	1	1
75612615	kruisverenigingen	1	3
75624842	tunnels	1	1
121648737	sanskriet	1	3
229721427	interculturele communicatie	1	4
75599082	anatomie	1	3
75659603	groenvoorzieningen	1	1
239223098	brede scholen	1	2
75609622	humanisme	1	2
75665859	zuid-amerikaanse volken	1	3
75635976	kreta	1	2
238895009	oude noorden (rotterdam)	1	4
237782820	bamboe	1	2
121904644	theaterwetenschap	1	1
75611848	jeugdrecht	1	2
75663805	sociale uitkeringen	1	1
07560647x	friese letterkunde	1	2
75606461	fresco's	1	4
75602814	china ; geschiedenis	1	2
370912136	pathofysiologie	1	2
75662418	ezechiël	1	3
207229090	pesten	1	5
75616289	natuurkunde	1	1
189186674	stedelijke economie	1	2
75620812	rooms-katholicisme	1	3
75618435	pensioenverzekeringen	1	2
07565783x	bouwkunst ; geschiedenis	1	2
75665263	weidebouw	1	4
75608316	griekse taalkunde	1	2
75610183	inkomstenbelasting	1	2
75635011	autobiografie	1	2
75611023	kabels en leidingen	1	1
75600986	bevallingen	1	3
75601397	blaasinstrumenten	1	2
75660016	integratie (sociologie)	1	3
75675323	meerlingen	1	1
07560552x	ethiek	1	1
75676990	dienstensector	1	2
84393939	analoge techniek	1	3
165742380	zuidoost-aziatische taal- en letterkunde	1	2
375264450	prosodie (taalwetenschap)	1	3
75661764	handelingen der apostelen	1	3
75599341	apocriefen	1	2
07563676x	luchtverkeer	1	3
75631970	latijns-amerika	1	2
07561975x	psychologie	1	2
75621584	seksuologie	1	1
75628260	zelfdoding	1	1
75628066	zeeflora	1	3
420705503	zuid-australië	1	2
75614634	marine	1	2
292336152	paleobotanie	1	2
07566478x	verpleegkundige technieken	1	2
75642131	guyana	1	3
75612747	kunstmatige inseminatie (vee)	1	2
75630052	curaçao	1	1
75632675	namibië	1	1
323871712	mindfulness	1	4
75686457	draagmoederschap	1	4
75662817	personeelsbeoordeling	1	2
75614049	literatuursociologie	1	3
75604884	effectenwezen	1	4
230088244	kankerverwekkende stoffen	1	3
185918115	verdroging	1	2
264105591	uml	1	4
75613468	inlichtingen- en veiligheidsdiensten	1	1
75622114	sociolinguïstiek	1	2
75637146	brieven	1	1
75689510	ouderenzorg	1	3
142944041	guyane	1	3
240774655	warmtepompen	1	2
75636913	oss	1	3
75667711	himalaya	1	1
75657651	biologie-onderwijs	1	2
07565833x	computerspelen	1	2
38902970x	tibetaans plateau	1	1
07563418x	suriname	1	3
75603853	detailhandel	1	2
75613867	lichaamstaal	1	2
75664224	tandaandoeningen	1	2
237938758	presentatie	1	2
87623099	oost-europa ; economie	1	2
216265444	beroepsaansprakelijkheid	1	2
75603497	creativiteit	1	1
75672189	caribisch gebied	1	2
264573919	indianentalen	1	2
153258764	oostvaardersplassen	1	3
186033907	andhra pradesh	1	2
75660245	kerkelijke ambten	1	1
75615290	middeleeuwen	1	2
09787177x	edp-auditing	1	2
75633280	polen	1	1
75626977	watervogels	1	3
363409645	ioniserende straling	1	2
07560888x	heiligen	1	1
75640902	ely	1	3
75606542	functieleer (psychologie)	1	3
75633175	pakistan	1	1
75665255	waterleiding	1	1
371228476	behaviorisme	1	2
357380347	sportpsychologie	1	3
308006887	sportsociologie	1	3
154134341	seksuele intimidatie	1	1
75628201	zeevogels	1	3
75603225	computers	1	1
149159765	fytotherapie	1	2
187570019	psoriasis	1	3
75614405	maatschappij	1	1
91429226	somalië	1	2
189860413	elektro-encefalografie	1	3
236400959	lasertherapie	1	2
75620049	radiozendontvangers	1	1
75664631	vaste-stofchemie	1	2
75663368	religieuze bewegingen	1	2
75660806	leesonderwijs	1	2
75604752	dijken	1	4
85992798	vrouwenhandel	1	3
75636557	vaartuigen	1	2
75615711	moorden	1	2
75621185	scheepsinstallaties	1	3
75661195	medezeggenschap ; bedrijven	1	2
75664534	turkse taal- en letterkunde	1	2
75634023	spanje	1	1
227509889	integraalvergelijkingen	1	2
75609568	huishoudelijke apparaten	1	1
75610302	interieurkunst	1	2
75603594	cultuurpsychologie	1	3
75603128	communicatiemedia	1	1
231028326	waterkeringen	1	3
75639351	cuba	1	1
75665794	ziektewet	1	3
07566030x	kernsplitsing	1	1
75620103	rassenvraagstuk	1	3
295880872	india ; geschiedenis	1	2
75633418	roemenië	1	1
75626330	internationaal publiek recht	1	3
75677806	peking	1	2
07560065x	bejaardenzorg	1	3
191041750	buenos aires	1	4
75618702	planeten	1	2
75599058	analytische meetkunde	1	3
75624044	terrorisme	1	2
75615703	monumentenzorg	1	1
75621126	schadelijke insecten	1	5
75626888	waterplanten	1	2
07566559x	woonlasten	1	1
75628406	ziekenverpleging	1	2
75612828	kunstverzamelen	1	5
75623803	tekenkunst	1	3
07560390x	dialectologie	1	2
236307525	fotogrammetrie	1	2
75628163	zeerecht	1	2
244173850	meertaligheid	1	2
75614057	literatuurwetenschap	1	1
